"Alabama",4530182
"Alaska",655435
"Arizona",5743834
"Arkansas",2752629
"California",35893799
"Colorado",4601403
"Connecticut",3503604
"Delaware",830364
"District of Columbia",553523
"Florida",17397161
"Georgia",8829383
"Hawaii",1262840
"Idaho",1393262
"Illinois",12713634
"Indiana",6237569
"Iowa",2954451
"Kansas",2735502
"Kentucky",4145922
"Louisiana",4515770
"Maine",1317253
"Maryland",5558058
"Massachusetts",6416505
"Michigan",10112620
"Minnesota",5100958
"Mississippi",2902966
"Missouri",5754618
"Montana",926865
"Nebraska",1747214
"Nevada",2334771
"New Hampshire",1299500
"New Jersey",8698879
"New Mexico",1903289
"New York",19227088
"North Carolina",8541221
"North Dakota",634366
"Ohio",11459011
"Oklahoma",3523553
"Oregon",3594586
"Pennsylvania",12406292
"Rhode Island",1080632
"South Carolina",4198068
"South Dakota",770883
"Tennessee",5900962
"Texas",22490022
"Utah",2389039
"Vermont",621394
"Virginia",7459827
"Washington",6203788
"West Virginia",1815354
"Wisconsin",5509026
"Wyoming",506529
